#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:37:26.116
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 500 mV/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.1315 V
C2,Current Probe Amp, 4.2060 A
C3,TX Amplitude, 242.91 V
C3,Frequency, 120.26 kHz
C4,Frequency, 240.15 kHz
C4,RX Average, 0.90961 V
C1,Power Supply Max, 10.168 V
C1,Power Supply Min, 8.2563 V
C2,Frequency, 120.05 kHz
C4,RX Max, 1.4767 V
C4,RX Min,-326.15003 mV
C4,RX DC RMS, 1.0389 Ṽ
