#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:39:41.000
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 21.508 V
C2,Current Probe Amp, 10.173 A
C3,TX Amplitude, 591.83 V
C3,Frequency, 120.08 kHz
C4,Frequency, 240.09 kHz
C4,RX Average, 2.3784 V
C1,Power Supply Max, 23.087 V
C1,Power Supply Min, 20.451 V
C2,Frequency, 120.04 kHz
C4,RX Max, 4.6329 V
C4,RX Min,-0.75978 V
C4,RX DC RMS, 2.9732 Ṽ
