#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:40:36.638
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 26.093 V
C2,Current Probe Amp, 12.856 A
C3,TX Amplitude, 746.26 V
C3,Frequency, 120.02 kHz
C4,Frequency, 240.08 kHz
C4,RX Average, 3.0136 V
C1,Power Supply Max, 27.899 V
C1,Power Supply Min, 25.065 V
C2,Frequency, 120.05 kHz
C4,RX Max, 10.763 V
C4,RX Min,-0.82416 V
C4,RX DC RMS, 3.8528 Ṽ
