#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:38:54.021
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 1 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 16.385 V
C2,Current Probe Amp, 7.6123 A
C3,TX Amplitude, 437.40 V
C3,Frequency, 120.05 kHz
C4,Frequency, 240.15 kHz
C4,RX Average, 1.7663 V
C1,Power Supply Max, 17.946 V
C1,Power Supply Min, 15.342 V
C2,Frequency, 120.04 kHz
C4,RX Max, 3.2020 V
C4,RX Min,-0.72035 V
C4,RX DC RMS, 2.1522 Ṽ
