#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:37:41.283
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 500 mV/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 11.039 V
C2,Current Probe Amp, 5.0994 A
C3,TX Amplitude, 292.99 V
C3,Frequency, 120.20 kHz
C4,Frequency, 239.98 kHz
C4,RX Average, 1.1376 V
C1,Power Supply Max, 12.244 V
C1,Power Supply Min, 10.102 V
C2,Frequency, 120.07 kHz
C4,RX Max, 1.9195 V
C4,RX Min,-0.57319 V
C4,RX DC RMS, 1.3286 Ṽ
