#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:37:10.291
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 500 mV/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 7.0479 V
C2,Current Probe Amp, 3.2672 A
C3,TX Amplitude, 186.15 V
C3,Frequency, 119.72 kHz
C4,Frequency, 240.20 kHz
C4,RX Average, 0.65725 V
C1,Power Supply Max, 7.9268 V
C1,Power Supply Min, 6.2789 V
C2,Frequency, 120.01 kHz
C4,RX Max, 1.0260 V
C4,RX Min,-126.41955 mV
C4,RX DC RMS, 0.72936 Ṽ
