#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:38:35.042
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 1 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 15.250 V
C2,Current Probe Amp, 7.0493 A
C3,TX Amplitude, 406.52 V
C3,Frequency, 120.09 kHz
C4,Frequency, 240.10 kHz
C4,RX Average, 1.6383 V
C1,Power Supply Max, 16.562 V
C1,Power Supply Min, 14.288 V
C2,Frequency, 120.07 kHz
C4,RX Max, 2.9392 V
C4,RX Min,-0.69670 V
C4,RX DC RMS, 1.9749 Ṽ
