#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:37:49.075
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 500 mV/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 12.111 V
C2,Current Probe Amp, 5.5340 A
C3,TX Amplitude, 323.04 V
C3,Frequency, 120.09 kHz
C4,Frequency, 240.22 kHz
C4,RX Average, 1.2626 V
C1,Power Supply Max, 13.398 V
C1,Power Supply Min, 11.124 V
C2,Frequency, 120.04 kHz
C4,RX Max, 2.1652 V
C4,RX Min,-0.61655 V
C4,RX DC RMS, 1.4902 Ṽ
