#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:38:28.327
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 1 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 14.158 V
C2,Current Probe Amp, 6.5437 A
C3,TX Amplitude, 377.30 V
C3,Frequency, 120.05 kHz
C4,Frequency, 239.96 kHz
C4,RX Average, 1.5079 V
C1,Power Supply Max, 15.507 V
C1,Power Supply Min, 13.233 V
C2,Frequency, 120.05 kHz
C4,RX Max, 3.7841 V
C4,RX Min,-0.66122 V
C4,RX DC RMS, 1.8069 Ṽ
