#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:39:02.577
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 1 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 17.367 V
C2,Current Probe Amp, 8.0777 A
C3,TX Amplitude, 470.79 V
C3,Frequency, 120.10 kHz
C4,Frequency, 240.11 kHz
C4,RX Average, 1.8780 V
C1,Power Supply Max, 18.737 V
C1,Power Supply Min, 16.364 V
C2,Frequency, 120.03 kHz
C4,RX Max, 3.4241 V
C4,RX Min,-0.73875 V
C4,RX DC RMS, 2.3017 Ṽ
