#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:37:02.480
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 500 mV/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 6.1747 V
C2,Current Probe Amp, 2.8406 A
C3,TX Amplitude, 166.11 V
C3,Frequency, 120.04 kHz
C4,Frequency, 240.12 kHz
C4,RX Average, 0.54275 V
C1,Power Supply Max, 6.9710 V
C1,Power Supply Min, 5.4549 V
C2,Frequency, 120.06 kHz
C4,RX Max, 0.84070 V
C4,RX Min,-55.46267 mV
C4,RX DC RMS, 0.59651 Ṽ
