#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:40:57.408
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 29.239 V
C2,Current Probe Amp, 14.702 A
C3,TX Amplitude, 859.78 V
C3,Frequency, 120.02 kHz
C4,Frequency, 240.07 kHz
C4,RX Average, 3.4960 V
C1,Power Supply Max, 31.327 V
C1,Power Supply Min, 28.130 V
C2,Frequency, 120.04 kHz
C4,RX Max, 8.9101 V
C4,RX Min,-0.82285 V
C4,RX DC RMS, 4.5186 Ṽ
