#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 10:40:41.934
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 27.148 V
C2,Current Probe Amp, 13.461 A
C3,TX Amplitude, 778.81 V
C3,Frequency, 120.08 kHz
C4,Frequency, 240.12 kHz
C4,RX Average, 3.1518 V
C1,Power Supply Max, 29.020 V
C1,Power Supply Min, 26.119 V
C2,Frequency, 120.05 kHz
C4,RX Max, 7.7275 V
C4,RX Min,-1.01338 V
C4,RX DC RMS, 4.0455 Ṽ
