#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:14:54.026
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.9918 V
C1,Power Supply Max, 11.025 V
C1,Power Supply Min, 9.2121 V
C2,Current Probe Amp, 5.2331 A
C2,Frequency, 120.03 kHz
C3,TX Amplitude, 309.69 V
C3,Frequency, 120.02 kHz
C4,RX Average, 1.1716 V
C4,RX DC RMS, 1.4298 Ṽ
C4,RX Max, 2.2296 V
C4,RX Min,-0.62969 V
C4,Frequency, 240.08 kHz
