#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:12:27.895
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.9334 V
C1,Power Supply Max, 11.750 V
C1,Power Supply Min, 8.6848 V
C2,Current Probe Amp, 8.7183 A
C2,Frequency, 116.14 kHz
C3,TX Amplitude, 505.02 V
C3,Frequency, 116.13 kHz
C4,RX Average, 2.0806 V
C4,RX DC RMS, 2.5528 Ṽ
C4,RX Max, 4.0903 V
C4,RX Min,-0.60472 V
C4,Frequency, 232.29 kHz
