#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:14:09.114
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.7590 V
C1,Power Supply Max, 11.157 V
C1,Power Supply Min, 8.8825 V
C2,Current Probe Amp, 13.055 A
C2,Frequency, 118.20 kHz
C3,TX Amplitude, 773.80 V
C3,Frequency, 118.16 kHz
C4,RX Average, 3.1690 V
C4,RX DC RMS, 4.1054 Ṽ
C4,RX Max, 10.763 V
C4,RX Min,-0.67699 V
C4,Frequency, 236.43 kHz
