#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:12:13.553
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.9686 V
C1,Power Supply Max, 11.651 V
C1,Power Supply Min, 8.5530 V
C2,Current Probe Amp, 7.1081 A
C2,Frequency, 115.74 kHz
C3,TX Amplitude, 414.03 V
C3,Frequency, 115.71 kHz
C4,RX Average, 1.6918 V
C4,RX DC RMS, 2.0299 Ṽ
C4,RX Max, 3.0272 V
C4,RX Min,-0.57450 V
C4,Frequency, 231.49 kHz
