#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:12:52.620
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.8072 V
C1,Power Supply Max, 11.750 V
C1,Power Supply Min, 8.3552 V
C2,Current Probe Amp, 12.468 A
C2,Frequency, 116.82 kHz
C3,TX Amplitude, 724.55 V
C3,Frequency, 116.85 kHz
C4,RX Average, 3.0313 V
C4,RX DC RMS, 3.8197 Ṽ
C4,RX Max, 10.763 V
C4,RX Min,-1.21311 V
C4,Frequency, 233.67 kHz
