#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:13:09.588
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.7790 V
C1,Power Supply Max, 11.552 V
C1,Power Supply Min, 8.3552 V
C2,Current Probe Amp, 12.895 A
C2,Frequency, 116.96 kHz
C3,TX Amplitude, 745.42 V
C3,Frequency, 117.01 kHz
C4,RX Average, 3.1258 V
C4,RX DC RMS, 3.9837 Ṽ
C4,RX Max, 6.6447 V
C4,RX Min,-0.66254 V
C4,Frequency, 233.84 kHz
