#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:13:17.757
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.7227 V
C1,Power Supply Max, 11.453 V
C1,Power Supply Min, 8.7507 V
C2,Current Probe Amp, 14.231 A
C2,Frequency, 117.24 kHz
C3,TX Amplitude, 818.04 V
C3,Frequency, 117.26 kHz
C4,RX Average, 3.4737 V
C4,RX DC RMS, 4.4556 Ṽ
C4,RX Max, 9.1098 V
C4,RX Min,-1.18814 V
C4,Frequency, 234.33 kHz
