#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:14:28.094
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.9218 V
C1,Power Supply Max, 11.190 V
C1,Power Supply Min, 9.0803 V
C2,Current Probe Amp, 8.3117 A
C2,Frequency, 119.03 kHz
C3,TX Amplitude, 495.00 V
C3,Frequency, 119.09 kHz
C4,RX Average, 1.9397 V
C4,RX DC RMS, 2.4742 Ṽ
C4,RX Max, 3.7460 V
C4,RX Min,-0.59027 V
C4,Frequency, 238.10 kHz
