#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:41:28.850
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 8.0694 V
C1,Power Supply Max, 9.9372 V
C1,Power Supply Min, 6.9380 V
C2,Current Probe Amp, 9.2011 A
C2,Frequency, 116.56 kHz
C3,TX Amplitude, 535.07 V
C3,Frequency, 116.46 kHz
C4,RX Average, 2.2083 V
C4,RX DC RMS, 2.7205 Ṽ
C4,RX Max, 4.0876 V
C4,RX Min,-0.58501 V
C4,Frequency, 232.95 kHz
