#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:41:41.770
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 4.0016 V
C1,Power Supply Max, 5.1253 V
C1,Power Supply Min, 3.3456 V
C2,Current Probe Amp, 6.4983 A
C2,Frequency, 117.24 kHz
C3,TX Amplitude, 378.14 V
C3,Frequency, 117.31 kHz
C4,RX Average, 1.5299 V
C4,RX DC RMS, 1.8378 Ṽ
C4,RX Max, 3.5029 V
C4,RX Min,-0.51800 V
C4,Frequency, 234.51 kHz
