#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:41:46.909
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 3.9659 V
C1,Power Supply Max, 4.9935 V
C1,Power Supply Min, 3.2467 V
C2,Current Probe Amp, 6.4809 A
C2,Frequency, 117.34 kHz
C3,TX Amplitude, 379.81 V
C3,Frequency, 117.38 kHz
C4,RX Average, 1.5395 V
C4,RX DC RMS, 1.8413 Ṽ
C4,RX Max, 2.7027 V
C4,RX Min,-0.51274 V
C4,Frequency, 234.71 kHz
