#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:50:19.253
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 8.0887 V
C1,Power Supply Max, 9.2780 V
C1,Power Supply Min, 6.8721 V
C2,Current Probe Amp, 9.2158 A
C2,Frequency, 116.68 kHz
C3,TX Amplitude, 535.07 V
C3,Frequency, 116.70 kHz
C4,RX Average, 2.1924 V
C4,RX DC RMS, 2.7245 Ṽ
C4,RX Max, 4.3544 V
C4,RX Min,-0.76240 V
C4,Frequency, 233.44 kHz
