#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:48:51.097
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.8367 V
C1,Power Supply Max, 11.387 V
C1,Power Supply Min, 8.4211 V
C2,Current Probe Amp, 6.0395 A
C2,Frequency, 115.49 kHz
C3,TX Amplitude, 343.91 V
C3,Frequency, 115.52 kHz
C4,RX Average, 1.3937 V
C4,RX DC RMS, 1.6550 Ṽ
C4,RX Max, 2.4583 V
C4,RX Min,-0.53771 V
C4,Frequency, 230.95 kHz
