#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:47:41.642
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.8560 V
C1,Power Supply Max, 11.354 V
C1,Power Supply Min, 8.5530 V
C2,Current Probe Amp, 5.1622 A
C2,Frequency, 115.08 kHz
C3,TX Amplitude, 298.84 V
C3,Frequency, 115.07 kHz
C4,RX Average, 1.1813 V
C4,RX DC RMS, 1.3760 Ṽ
C4,RX Max, 1.9891 V
C4,RX Min,-466.74978 mV
C4,Frequency, 230.01 kHz
