#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:50:26.431
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 6.8289 V
C1,Power Supply Max, 7.9597 V
C1,Power Supply Min, 5.6197 V
C2,Current Probe Amp, 8.4802 A
C2,Frequency, 116.82 kHz
C3,TX Amplitude, 491.66 V
C3,Frequency, 116.88 kHz
C4,RX Average, 2.0203 V
C4,RX DC RMS, 2.4950 Ṽ
C4,RX Max, 3.7460 V
C4,RX Min,-0.56793 V
C4,Frequency, 233.65 kHz
