#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:47:35.518
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.8615 V
C1,Power Supply Max, 11.354 V
C1,Power Supply Min, 8.5859 V
C2,Current Probe Amp, 4.9202 A
C2,Frequency, 114.92 kHz
C3,TX Amplitude, 284.65 V
C3,Frequency, 114.85 kHz
C4,RX Average, 1.1040 V
C4,RX DC RMS, 1.2814 Ṽ
C4,RX Max, 1.8420 V
C4,RX Min,-447.03954 mV
C4,Frequency, 229.16 kHz
