#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:50:05.232
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.3788 V
C1,Power Supply Max, 10.959 V
C1,Power Supply Min, 7.8938 V
C2,Current Probe Amp, 9.9273 A
C2,Frequency, 116.56 kHz
C3,TX Amplitude, 575.97 V
C3,Frequency, 116.56 kHz
C4,RX Average, 2.3617 V
C4,RX DC RMS, 2.9470 Ṽ
C4,RX Max, 5.0758 V
C4,RX Min,-0.61786 V
C4,Frequency, 233.09 kHz
