#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:47:47.580
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.8479 V
C1,Power Supply Max, 11.552 V
C1,Power Supply Min, 8.6848 V
C2,Current Probe Amp, 5.4431 A
C2,Frequency, 115.22 kHz
C3,TX Amplitude, 315.53 V
C3,Frequency, 115.28 kHz
C4,RX Average, 1.2560 V
C4,RX DC RMS, 1.4727 Ṽ
C4,RX Max, 2.1692 V
C4,RX Min,-495.65814 mV
C4,Frequency, 230.41 kHz
