#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:50:13.958
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.5750 V
C1,Power Supply Max, 10.761 V
C1,Power Supply Min, 7.9597 V
C2,Current Probe Amp, 10.029 A
C2,Frequency, 116.56 kHz
C3,TX Amplitude, 585.15 V
C3,Frequency, 116.53 kHz
C4,RX Average, 2.3876 V
C4,RX DC RMS, 2.9830 Ṽ
C4,RX Max, 10.763 V
C4,RX Min,-0.61392 V
C4,Frequency, 233.11 kHz
