#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:28:49.133
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 5 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.3623 V
C1,Power Supply Max, 11.124 V
C1,Power Supply Min, 8.4541 V
C2,Current Probe Amp, 12.625 A
C2,Frequency, 118.06 kHz
C3,TX Amplitude, 752.93 V
C3,Frequency, 118.09 kHz
C4,RX Average, 3.0719 V
C4,RX DC RMS, 3.9093 Ṽ
C4,RX Max, 9.7377 V
C4,RX Min,-1.06252 V
C4,Frequency, 236.27 kHz
