#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:27:32.587
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.6530 V
C1,Power Supply Max, 11.091 V
C1,Power Supply Min, 7.9927 V
C2,Current Probe Amp, 6.8299 A
C2,Frequency, 115.74 kHz
C3,TX Amplitude, 394.00 V
C3,Frequency, 115.82 kHz
C4,RX Average, 1.5929 V
C4,RX DC RMS, 1.9340 Ṽ
C4,RX Max, 2.8485 V
C4,RX Min,-0.55742 V
C4,Frequency, 231.32 kHz
