#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:27:39.133
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.6312 V
C1,Power Supply Max, 11.256 V
C1,Power Supply Min, 7.9268 V
C2,Current Probe Amp, 7.8436 A
C2,Frequency, 116.02 kHz
C3,TX Amplitude, 454.93 V
C3,Frequency, 115.96 kHz
C4,RX Average, 1.8354 V
C4,RX DC RMS, 2.2566 Ṽ
C4,RX Max, 4.2887 V
C4,RX Min,-0.58633 V
C4,Frequency, 232.03 kHz
