#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:29:17.077
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.6194 V
C1,Power Supply Max, 11.190 V
C1,Power Supply Min, 8.7837 V
C2,Current Probe Amp, 7.5240 A
C2,Frequency, 119.04 kHz
C3,TX Amplitude, 448.25 V
C3,Frequency, 119.00 kHz
C4,RX Average, 1.7415 V
C4,RX DC RMS, 2.1979 Ṽ
C4,RX Max, 5.4608 V
C4,RX Min,-0.56924 V
C4,Frequency, 238.14 kHz
