#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:27:12.056
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.7064 V
C1,Power Supply Max, 11.058 V
C1,Power Supply Min, 8.0586 V
C2,Current Probe Amp, 5.3963 A
C2,Frequency, 115.21 kHz
C3,TX Amplitude, 310.52 V
C3,Frequency, 115.19 kHz
C4,RX Average, 1.1835 V
C4,RX DC RMS, 1.3844 Ṽ
C4,RX Max, 2.0522 V
C4,RX Min,-499.60019 mV
C4,Frequency, 230.35 kHz
