#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:29:25.555
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.6622 V
C1,Power Supply Max, 10.926 V
C1,Power Supply Min, 8.9155 V
C2,Current Probe Amp, 6.5477 A
C2,Frequency, 119.35 kHz
C3,TX Amplitude, 383.14 V
C3,Frequency, 119.39 kHz
C4,RX Average, 1.5132 V
C4,RX DC RMS, 1.8774 Ṽ
C4,RX Max, 2.8275 V
C4,RX Min,-0.58238 V
C4,Frequency, 238.69 kHz
