#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:28:57.927
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 5 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.4650 V
C1,Power Supply Max, 11.256 V
C1,Power Supply Min, 8.5859 V
C2,Current Probe Amp, 10.977 A
C2,Frequency, 118.35 kHz
C3,TX Amplitude, 653.60 V
C3,Frequency, 118.39 kHz
C4,RX Average, 2.6336 V
C4,RX DC RMS, 3.3390 Ṽ
C4,RX Max, 10.952 V
C4,RX Min,-1.06252 V
C4,Frequency, 236.71 kHz
