#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:28:53.540
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 5 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.4125 V
C1,Power Supply Max, 11.420 V
C1,Power Supply Min, 8.3552 V
C2,Current Probe Amp, 11.804 A
C2,Frequency, 118.19 kHz
C3,TX Amplitude, 702.02 V
C3,Frequency, 118.16 kHz
C4,RX Average, 2.8539 V
C4,RX DC RMS, 3.6194 Ṽ
C4,RX Max, 11.313 V
C4,RX Min,-1.06252 V
C4,Frequency, 236.41 kHz
