#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:27:24.932
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.6808 V
C1,Power Supply Max, 11.157 V
C1,Power Supply Min, 7.8608 V
C2,Current Probe Amp, 6.4140 A
C2,Frequency, 115.62 kHz
C3,TX Amplitude, 369.79 V
C3,Frequency, 115.60 kHz
C4,RX Average, 1.4243 V
C4,RX DC RMS, 1.6855 Ṽ
C4,RX Max, 4.6947 V
C4,RX Min,-0.51800 V
C4,Frequency, 231.16 kHz
