#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 15:27:54.805
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 9.5165 V
C1,Power Supply Max, 11.354 V
C1,Power Supply Min, 7.8938 V
C2,Current Probe Amp, 10.485 A
C2,Frequency, 116.56 kHz
C3,TX Amplitude, 610.19 V
C3,Frequency, 116.63 kHz
C4,RX Average, 2.4702 V
C4,RX DC RMS, 3.1231 Ṽ
C4,RX Max, 8.9101 V
C4,RX Min,-0.63889 V
C4,Frequency, 233.06 kHz
