#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:24:00.251
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 10.085 V
C1,Power Supply Max, 11.354 V
C1,Power Supply Min, 9.1132 V
C2,Current Probe Amp, 2.7175 A
C2,Frequency, 113.01 kHz
C3,TX Amplitude, 151.92 V
C3,Frequency, 112.97 kHz
C4,RX Average, 492.14 mV
C4,RX DC RMS, 0.54372 Ṽ
C4,RX Max, 0.78419 V
C4,RX Min,-299.86970 mV
C4,Frequency, 226.13 kHz
