#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:23:18.663
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 10.075 V
C1,Power Supply Max, 11.453 V
C1,Power Supply Min, 8.6848 V
C2,Current Probe Amp, 4.8439 A
C2,Frequency, 114.96 kHz
C3,TX Amplitude, 281.31 V
C3,Frequency, 114.97 kHz
C4,RX Average, 1.0960 V
C4,RX DC RMS, 1.2759 Ṽ
C4,RX Max, 1.8761 V
C4,RX Min,-439.15544 mV
C4,Frequency, 229.81 kHz
