#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:22:09.867
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 10.123 V
C1,Power Supply Max, 11.288 V
C1,Power Supply Min, 9.1462 V
C2,Current Probe Amp, 4.3785 A
C2,Frequency, 120.04 kHz
C3,TX Amplitude, 258.77 V
C3,Frequency, 120.14 kHz
C4,RX Average, 0.98311 V
C4,RX DC RMS, 1.1283 Ṽ
C4,RX Max, 1.6094 V
C4,RX Min,-406.30503 mV
C4,Frequency, 240.30 kHz
