#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:24:26.479
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 10.069 V
C1,Power Supply Max, 10.992 V
C1,Power Supply Min, 9.2121 V
C2,Current Probe Amp, 3.2779 A
C2,Frequency, 121.08 kHz
C3,TX Amplitude, 191.16 V
C3,Frequency, 121.09 kHz
C4,RX Average, 0.70097 V
C4,RX DC RMS, 0.78321 Ṽ
C4,RX Max, 1.1048 V
C4,RX Min,-245.99503 mV
C4,Frequency, 242.18 kHz
