#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:23:03.592
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 4.9278 V
C1,Power Supply Max, 6.4437 V
C1,Power Supply Min, 4.1696 V
C2,Current Probe Amp, 7.0038 A
C2,Frequency, 116.93 kHz
C3,TX Amplitude, 408.19 V
C3,Frequency, 116.83 kHz
C4,RX Average, 1.6551 V
C4,RX DC RMS, 1.9980 Ṽ
C4,RX Max, 2.9431 V
C4,RX Min,-0.53508 V
C4,Frequency, 234.01 kHz
